URL,Restaurant Name,Overall Rating,Number of Reviews,Food Type
https://www.yelp.com/biz/lai-wah-restaurant-singapore?osq=Restaurants,Lai Wah Restaurant,4.3,3,Chinese
https://www.yelp.com/biz/dragon-phoenix-singapore?osq=Restaurants,Dragon Phoenix,4.0,5,Cantonese
https://www.yelp.com/biz/zazz-pizza-singapore?osq=Restaurants,Zazz Pizza,4.8,6,"Pizza, Italian"
https://www.yelp.com/biz/schmear-singapore?osq=Restaurants,Schmear,4.0,1,American
https://www.yelp.com/biz/pu-dong-kitchen-singapore-2?osq=Restaurants,Pu Dong Kitchen,3.4,7,Shanghainese
https://www.yelp.com/biz/kai-garden-singapore?osq=Restaurants,Kai Garden,4.4,13,"Cantonese, Dim Sum, Seafood"
https://www.yelp.com/biz/sakurazaka-singapore?osq=Restaurants,Sakurazaka,4.7,3,Japanese
https://www.yelp.com/biz/jumbo-singapore?osq=Restaurants,Jumbo,4.3,13,"Seafood, Singaporean"
https://www.yelp.com/biz/forty-hands-east-coast-singapore?osq=Restaurants,Forty Hands East Coast,4.5,2,Cafes
https://www.yelp.com/biz/ippudo-singapore-5?osq=Restaurants,Ippudo,4.5,4,Ramen
https://www.yelp.com/biz/liao-fan-hawker-chan-singapore-3?osq=Restaurants,Liao Fan Hawker Chan,3.8,164,"Noodles, Chicken Shop"
https://www.yelp.com/biz/candlenut-singapore-2?osq=Restaurants,Candlenut,4.1,61,"Asian Fusion, Singaporean, Chinese"
https://www.yelp.com/biz/fatty-cheong-toa-payoh-singapore-2?osq=Restaurants,Fatty Cheong @ Toa Payoh,5.0,2,"Meat Shops, Cantonese"
https://www.yelp.com/biz/lim-chee-guan-singapore?osq=Restaurants,Lim Chee Guan,4.3,11,"Barbeque, Specialty Food, Chinese"
https://www.yelp.com/biz/trattoria-lafiandra-singapore-2?osq=Restaurants,Trattoria Lafiandra,4.1,20,"Italian, Wine Bars"
https://www.yelp.com/biz/seiwaa-okonomiyaki-and-teppanyaki-restaurant-singapore?osq=Restaurants,Seiwaa Okonomiyaki & Teppanyaki Restaurant,4.0,5,Teppanyaki
https://www.yelp.com/biz/the-butchers-wife-singapore?osq=Restaurants,The Butcher's Wife,4.6,8,Gluten-Free
https://www.yelp.com/biz/foc-singapore?osq=Restaurants,FOC,4.3,47,"Tapas/Small Plates, Cocktail Bars, Spanish"
https://www.yelp.com/biz/ippudo-singapore-6?osq=Restaurants,Ippudo,4.2,12,Japanese
